93,46:30.016N,13:57.416E,1812M,T,KEPA,
94,46:38.566N,14:20.233E,437M,T,KLAGENFURT,
95,46:26.816N,14:10.983E,1696M,T,KLAGENFURTER HUE,
96,46:43.516N,14:32.700E,514M,T,KLEIN ST VEIT KI,
97,46:14.033N,13:57.933E,1465M,T,KOBLA,
98,45:38.533N,14:51.166E,463M,T,KOCEVJE,
99,45:34.333N,14:48.016E,540M,T,KOCEVSKA REKA,
100,46:37.100N,14:51.500E,1041M,T,KOEMMELGUPF GIPF,
101,46:30.916N,15:11.050E,1414M,T,KOPA LIFT BERGST,
102,45:50.883N,15:25.150E,141M,T,KOSTANJEVICA,
103,46:26.833N,14:25.783E,1850M,T,KOSUTA,
104,46:21.100N,14:20.016E,1452M,T,KRIZKA GORA,
105,45:54.566N,15:29.133E,154M,T,KRSKO MOST,
106,46:17.100N,14:29.883E,655M,T,KRVAVEC SEILBAHN,
107,46:17.516N,14:32.783E,1542M,T,KRVAVEC TV,
108,46:17.783N,14:31.350E,1491M,T,KRVAVEC ZGORNJAA,
109,46:05.166N,15:04.200E,1028M,T,KUM ANTENA TV,
110,46:17.533N,15:13.016E,488M,T,KUNIGUNDA,
111,46:29.783N,13:53.300E,1773M,T,KURJI V,
112,46:09.050N,15:14.150E,219M,T,LASKO ZELEZNISKI,
113,46:38.450N,14:56.466E,347M,T,LAVAMUEND B87XDR,
114,46:19.216N,15:14.800E,321M,T,LEMBERG SL,
115,46:34.283N,15:49.583E,244M,T,LENART,
116,46:30.733N,13:51.883E,1850M,T,LEPI VRH,
117,46:37.250N,14:56.783E,514M,T,LIBELICE CHURCH,
118,46:26.433N,14:15.166E,1234M,T,LJUBELJ,
119,46:13.466N,14:27.366E,373M,T,LJUBLJANA BRNIK,
120,46:28.800N,15:41.166E,257M,T,MARIBOR,
121,46:30.950N,15:34.750E,1002M,T,MARIBOR ZGORNJAP,
122,46:13.833N,14:50.500E,925M,T,MENINACGIPFEL,
123,45:37.416N,15:18.200E,129M,T,METLIKA,
124,45:56.533N,15:08.550E,257M,T,MOKRONOG,
125,46:20.233N,14:57.950E,334M,T,MOZIRJE MOST NAS,
126,45:46.183N,14:03.116E,1195M,T,NANOS TV STOLP,
127,46:34.833N,13:37.700E,540M,T,NOETSCH,
128,46:35.466N,13:37.366E,565M,T,NOETSCH GAILTAL,
129,45:46.583N,14:29.950E,720M,T,NOVA VAS,
130,46:09.833N,16:19.983E,180M,T,NOVI MAROF,
131,46:16.500N,15:12.800E,321M,T,OGULI,
132,46:22.650N,14:38.116E,1221M,T,OJSTRICA HUETTE,
133,46:24.266N,16:09.483E,193M,T,ORMOZ,
134,46:40.650N,13:58.983E,501M,T,OSSIACH STIFT KI,
135,46:40.266N,14:00.433E,912M,T,OSSIACHER TAUERN,
136,46:38.950N,13:51.233E,938M,T,OSWALDIBERG KIRC,
137,46:43.166N,13:38.333E,501M,T,PATERNION,
138,46:31.316N,13:42.866E,1478M,T,PEC,
139,46:29.383N,14:47.616E,1696M,T,PECA,
140,46:31.083N,14:46.300E,1645M,T,PECA ZGORNJA BER,
141,46:31.083N,14:46.300E,1645M,T,PETZEN LIFT BERG,
142,46:32.433N,14:46.433E,630M,T,PETZEN TALSTATIO,
143,46:34.016N,14:21.950E,848M,T,PFAFFENWALD SEND,
144,46:13.250N,13:58.166E,694M,T,PIEDICOLLECCO GA,
145,46:50.916N,14:17.150E,964M,T,PISWEG GURK KIRC,
146,46:28.983N,13:59.233E,1683M,T,PL DOVSKA ROZCA,
147,46:12.350N,13:58.033E,553M,T,PODBRDO EB TUNNE,
148,46:09.333N,15:35.283E,398M,T,PODCETRTEK,
149,46:29.533N,13:45.366E,848M,T,PODKOREN,
150,46:23.516N,13:46.216E,1349M,T,PODKOREN ROAD CR,
151,45:58.133N,14:23.266E,283M,T,PODPEC,
152,46:01.400N,15:35.183E,514M,T,PODSREDA,
153,46:47.550N,14:45.516E,912M,T,POELLING CHURCH,
154,46:23.716N,15:39.766E,244M,T,PRAGERSK,
155,46:14.616N,15:04.633E,270M,T,PREBOLD,
156,45:35.516N,15:15.866E,154M,T,PRILOZJE,
157,46:25.066N,15:52.066E,219M,T,PTUJ GRAD,
158,46:39.900N,13:46.050E,527M,T,PUCH BEI VILLACH,
159,46:36.533N,14:08.700E,848M,T,PYRAMIDENKOGEL S,
160,46:36.550N,14:08.733E,822M,T,PYRAMIDNKOGEL WA,
161,46:38.500N,16:02.416E,206M,T,RADENCI,
162,46:47.966N,13:42.450E,733M,T,RADENTHEIN SUEDL,
163,46:20.433N,14:09.900E,411M,T,RADOVLJICA,
164,46:29.866N,13:42.266E,861M,T,RATECE MEJNIPREH,
165,46:31.583N,14:34.550E,668M,T,RECHBERG RUINE,
166,45:44.500N,14:43.850E,488M,T,RIBNICA ZELEZNIS,
167,46:14.183N,15:38.333E,244M,T,ROGASKA SLATINA,
168,46:19.183N,14:44.483E,1401M,T,ROGATEC,
169,46:27.233N,15:20.450E,1478M,T,ROGLA,
170,46:12.300N,13:53.783E,733M,T,RUT,
171,45:58.466N,13:38.333E,116M,T,SABOTINO,
172,46:39.900N,13:55.050E,553M,T,SATTENDORF KIRCH,
173,46:28.800N,14:28.083E,1118M,T,SCHAIDASATTEL PA,
174,46:33.900N,13:44.566E,527M,T,SCHUETT KW,
175,45:38.550N,15:09.750E,360M,T,SEMIC ZELEZNISKA,
176,46:15.366N,15:06.216E,270M,T,SEMPETER,
177,46:12.533N,15:23.416E,257M,T,SENTJUR,
178,45:56.533N,14:51.300E,308M,T,SENTVID,
179,46:00.816N,15:17.833E,180M,T,SEVNICA,
180,46:49.433N,14:03.483E,835M,T,SIRNITZ CHURCH,
181,46:09.383N,14:18.166E,347M,T,SKOFJA LOKA,
182,46:13.116N,14:44.433E,476M,T,SMARTNO,
183,46:10.500N,15:11.166E,591M,T,SMOHOR,
184,46:24.483N,14:53.583E,1169M,T,SMREKOVEC,
185,45:35.216N,14:26.500E,1606M,T,SNEZNIK,
186,46:40.900N,15:04.466E,1079M,T,SOBOTH CHURCH,
187,46:13.033N,14:50.583E,565M,T,SPITALIC,
188,46:44.500N,14:24.416E,527M,T,ST DONATH,
189,46:38.233N,14:59.650E,964M,T,ST LORENZEN LAV,
190,46:42.033N,14:52.400E,373M,T,ST PAUL I L KLOS,
191,46:45.816N,14:22.000E,463M,T,ST VEIT EY,
192,46:41.883N,14:00.833E,514M,T,STEINDORF BF,
193,46:52.200N,14:52.600E,553M,T,STGERTRAUD BEI W,
194,46:27.983N,14:02.983E,938M,T,SV KRIZ CERKEVSP,
195,46:23.000N,14:11.416E,848M,T,SV PETER CERKEV,
196,46:26.133N,15:27.350E,1157M,T,SV TRIJE KRALJI,
197,46:28.816N,14:26.650E,861M,T,TERKL BR TSCHERN,
198,46:32.033N,13:38.483E,630M,T,THOERL MAGLERN A,
199,46:42.416N,14:03.400E,630M,T,TIFFEN CHURCH,
200,46:11.316N,13:42.300E,154M,T,TOLMIN,
201,46:11.066N,13:44.050E,193M,T,TOLMIN CHURCH,
202,46:25.233N,14:48.500E,1542M,T,TRAVNIK,
