83,52:01.270N,1:08.959W,111M,T,Brackley South,
84,51:20.680N,2:15.125W,36M,T,Bradford-on-avon,
85,52:31.660N,2:25.044W,33M,T,Bridgnorth,
86,51:49.129N,1:02.982W,186M,T,Brill,
87,52:02.182N,1:51.356W,101M,T,Broadway,
88,52:19.362N,2:02.779W,86M,T,Bromsgrove,
89,52:11.460N,2:30.340W,121M,T,Bromyard,
90,51:06.643N,2:26.996W,69M,T,Bruton,
91,51:59.888N,0:59.337W,86M,T,Buckingham,
92,51:10.506N,1:20.336W,74M,T,Bullington,
93,51:20.668N,1:40.193W,151M,T,Burbage,
94,52:07.254N,2:35.761W,91M,T,Burley Gate,
95,52:45.728N,1:41.975W,50M,T,Burton,
96,50:58.633N,0:58.916W,264M,T,Butser Hill,
97,51:55.471N,1:00.693W,89M,T,Calvert Rail Jun,
98,52:09.395N,0:08.118E,16M,T,Cambridge South,
99,52:12.866N,0:04.683E,20M,T,Cambridge West,
100,51:10.193N,1:08.008W,103M,T,Candover Church,
101,52:41.341N,2:06.211W,111M,T,Cannock,
102,52:13.719N,0:06.215W,65M,T,Caxton Gibbet,
103,51:52.384N,1:29.460W,91M,T,Charlbury,
104,52:12.170N,1:15.064W,207M,T,Charwelton,
105,52:28.437N,0:03.083E,1M,T,Chatteris,
106,51:48.749N,1:56.577W,242M,T,Chedworth,
107,51:54.963N,2:04.202W,70M,T,Cheltenham,
108,51:52.606N,2:01.131W,134M,T,Cheltenham East,
109,51:06.284N,2:09.956W,194M,T,Chicklade,
110,51:27.156N,1:18.628W,112M,T,Chieveley,
111,51:08.702N,1:26.289W,82M,T,Chilbolton,
112,51:40.344N,0:57.665W,135M,T,Chinnor,
113,52:03.183N,1:46.505W,150M,T,Chipping Campden,
114,51:57.124N,1:31.484W,227M,T,Chipping Norton,
115,52:08.722N,1:16.569W,143M,T,Chipping Warden,
116,51:43.041N,1:58.078W,115M,T,Cirencester Chur,
117,51:44.973N,1:59.902W,181M,T,Cirencester nw,
118,52:23.879N,2:35.817W,507M,T,Clee,
119,52:48.208N,0:36.657W,119M,T,Colsterworth,
120,52:36.712N,2:46.093W,109M,T,Condover,
121,52:29.368N,0:40.627W,102M,T,Corby,
122,52:27.584N,0:44.222W,106M,T,Corby South,
123,52:38.250N,2:18.741W,77M,T,Cosford Airfield,
124,52:39.519N,2:17.978W,89M,T,Cosford Junction,
125,52:26.375N,2:50.229W,122M,T,Craven Arms,
126,52:21.043N,1:09.277W,112M,T,Crick,
127,51:38.413N,1:51.448W,88M,T,Cricklade,
128,52:47.478N,1:48.862W,98M,T,Cross Hayes,
129,52:42.822N,0:08.173W,1M,T,Crowland A/f,
130,52:40.773N,0:11.011W,3M,T,Crowland Bridge,
131,51:58.926N,1:19.383W,132M,T,Deddington,
132,51:21.252N,1:59.076W,132M,T,Devizes,
133,51:37.297N,1:15.658W,60M,T,Didcot,
134,52:54.096N,0:13.060W,4M,T,Donington,
135,52:17.272N,2:07.210W,55M,T,Droitwlch,
136,51:54.402N,0:33.050W,99M,T,Dunstable Rounda,
137,51:41.516N,2:22.766W,95M,T,Dursley NW,
138,51:39.521N,2:22.376W,178M,T,Dursley SW,
139,52:21.227N,0:02.265E,4M,T,Earith,
140,52:50.727N,0:51.285W,155M,T,Eastwell,
141,52:04.912N,1:28.486W,188M,T,Edgehill,
142,51:47.740N,2:03.016W,255M,T,Elkstone S,
143,52:54.540N,2:53.643W,94M,T,Ellesmere,
144,52:08.483N,1:36.843W,111M,T,Ettington,
145,52:05.893N,1:56.757W,38M,T,Evesham,
146,52:32.336N,0:44.696W,68M,T,Eyebrook,
147,51:38.955N,1:34.519W,107M,T,Faringdon,
148,52:09.998N,1:21.855W,123M,T,Fenny Compton,
149,51:59.318N,1:04.164W,118M,T,Finmere,
150,51:06.819N,1:02.825W,196M,T,Four Marks,
151,51:03.156N,1:59.938W,96M,T,Fovant,
152,52:07.143N,0:03.357E,18M,T,Foxton,
153,51:13.699N,2:19.348W,99M,T,Frome,
154,52:11.559N,1:27.538W,110M,T,Gaydon,
155,51:02.101N,2:16.127W,75M,T,Gillingham,
156,51:08.885N,2:42.741W,40M,T,Glastonbury,
157,51:48.251N,2:15.887W,33M,T,Gloucester South,
158,51:52.502N,2:16.069W,10M,T,Gloucester West,
159,51:30.698N,1:07.680W,42M,T,Goring,
160,52:17.387N,0:17.179W,41M,T,Grafham Water,
161,52:53.844N,0:39.875W,70M,T,Grantham,
162,52:07.502N,2:19.147W,71M,T,Great Malvern,
163,52:17.340N,2:21.417W,106M,T,Great Witley,
164,51:15.607N,2:43.765W,260M,T,Halesland,
165,52:41.543N,2:58.145W,129M,T,Halfway House,
166,50:58.132N,0:53.099W,72M,T,Harting,
167,52:03.249N,2:42.944W,60M,T,Hereford Cathedr,
168,52:04.514N,2:43.323W,72M,T,Hereford Racecou,
169,51:55.114N,1:17.974W,74M,T,Heyford Station,
170,52:30.900N,1:21.687W,114M,T,Hinckley,
171,52:01.598N,1:11.961W,143M,T,Hinton in the He,
172,52:05.815N,1:48.953W,60M,T,Honeybourne,
