74,45:25.700N,122:56.533W,46M,T,Stark's Twin Oak,
75,45:44.717N,122:50.767W,4M,T,Chinook,
76,45:26.483N,122:53.567W,92M,T,Pats Pasture,
77,45:46.933N,122:53.633W,92M,T,Grabhorn's,
78,45:46.350N,122:51.750W,8M,T,Scappoose,
79,45:24.750N,123:08.200W,80M,T,Dick Fisher,
80,45:24.567N,123:08.933W,139M,T,Goodin Creek,
81,45:47.350N,123:13.917W,288M,T,Stevens Mountain,
82,45:22.217N,123:03.900W,189M,T,Ribbon Ridge,
83,45:43.817N,122:44.067W,2M,T,Robert L Delanoy,
84,45:23.983N,122:49.733W,158M,T,Meyer Riverside,
85,45:32.683N,123:22.883W,820M,T,Microwave Hagg,
86,45:21.183N,122:58.683W,280M,T,Newberg VOR,
87,45:48.150N,123:16.800W,246M,T,Bero,
88,45:37.233N,122:39.383W,40M,T,Pearson,
89,45:22.983N,122:48.067W,48M,T,Wager,
90,45:19.417N,123:01.133W,84M,T,Stan Jost,
91,45:19.400N,123:03.200W,68M,T,Chehalem,
92,45:50.500N,122:48.000W,19M,T,St. Helens,
93,45:51.100N,123:14.483W,260M,T,Vernonia,
94,45:27.000N,123:23.500W,475M,T,Barney Reservoir,
95,45:19.883N,123:12.417W,64M,T,Trivelpiece,
96,45:35.317N,122:35.850W,3M,T,Portland,
97,45:17.700N,122:57.300W,62M,T,Sportsman,
98,45:21.717N,123:21.333W,339M,T,Flying M,
99,45:25.300N,122:37.217W,32M,T,Bruce's,
100,45:37.317N,122:31.750W,95M,T,Evergreen,
101,45:49.817N,122:38.250W,7M,T,Daybreak,
102,45:53.917N,122:44.200W,9M,T,Woodland,
103,45:43.433N,122:32.667W,91M,T,Brush Prairie,
104,45:41.233N,122:31.317W,91M,T,Fly For Fun,
105,45:14.650N,123:07.733W,49M,T,Lafayette,
106,45:49.600N,122:34.600W,98M,T,Goheen,
107,45:26.267N,122:31.667W,223M,T,Cub Port,
108,45:14.017N,122:51.383W,48M,T,McGee,
109,45:45.867N,122:30.900W,90M,T,Cedars North,
110,45:48.950N,122:33.167W,104M,T,Parkside,
111,45:39.783N,122:28.350W,87M,T,Green Mountain,
112,45:18.500N,123:24.500W,772M,T,McGuire Reservoi,
113,45:26.883N,122:29.967W,189M,T,Happy Valley,
114,45:14.600N,122:46.200W,58M,T,Aurora,
115,45:59.133N,123:14.800W,193M,T,Mist,
116,45:22.283N,122:33.250W,87M,T,Clackamas Height,
117,45:18.983N,122:36.317W,145M,T,Aeroacres,
118,45:11.667N,123:08.150W,49M,T,McMinnville,
119,45:53.733N,122:35.650W,257M,T,La Center View-A,
120,45:58.283N,123:21.017W,210M,T,Holce & Oblack,
121,45:37.667N,122:24.250W,136M,T,Grove,
